date,Apple,Amazon,Google,Microsoft,Tesla,"('date', '')",positive_sentiment,negative_sentiment,total_sentiment
4/21/2015,31.72750092,391.1799927,532.5079956,42.63999939,41.88199997,4/21/2015,0.11252,0.0816,0.013416
4/22/2015,32.15499878,389.7999878,537.8882446,42.99000168,43.88800049,4/22/2015,0.088923077,0.043153846,0.036430769
4/23/2015,32.41749954,389.9899902,545.5023193,43.34000015,43.72000122,4/23/2015,0.130727273,0.036454545,0.173151515
4/24/2015,32.56999969,445.1000061,563.5128784,47.86999893,43.68600082,4/24/2015,0.087181818,0.037818182,0.089531818
4/27/2015,33.16249847,438.5599976,555.3699951,48.02999878,46.31000137,4/27/2015,0.0761,0.045825,0.028485
4/28/2015,32.63999939,429.3099976,553.6799927,49.15999985,46.09600067,4/28/2015,0.180814815,0.064296296,0.161092593
4/29/2015,32.15999985,429.3699951,549.0800171,49.06000137,46.49000168,4/29/2015,0.083942857,0.051828571,0.049817143
4/30/2015,31.28750038,421.7799988,537.3400269,48.63999939,45.20999908,4/30/2015,0.1081,0.087,0.019885
5/1/2015,32.23749924,422.8699951,537.9000244,48.65999985,45.20600128,5/1/2015,0.114290323,0.057032258,0.061896774
5/4/2015,32.17499924,423.0400085,540.7800293,48.24000168,46.10200119,5/4/2015,0.075,0.0589,-0.00637
5/5/2015,31.45000076,421.1900024,530.7999878,47.59999847,46.59000015,5/5/2015,0.06478125,0.03378125,0.041934375
5/6/2015,31.25250053,419.1000061,524.2199707,46.27999878,46.08599854,5/6/2015,0.086111111,0.056851852,0.021911111
5/7/2015,31.31500053,426.8800049,530.7000122,46.70000076,47.36000061,5/7/2015,0.0323,0.030666667,0.010483333
5/8/2015,31.90500069,433.6900024,538.2199707,47.75,47.3219986,5/8/2015,0.063944444,0.070333333,-0.018944444
5/11/2015,31.57999992,432.8500061,535.7000122,47.36999893,47.89799881,5/11/2015,0.128894737,0.108842105,-0.011942105
5/12/2015,31.46750069,431.019989,529.039978,47.34999847,48.94800186,5/12/2015,0.032111111,0.050388889,-0.026266667
5/13/2015,31.50250053,426.8699951,529.6199951,47.63000107,48.63600159,5/13/2015,0.050846154,0.012307692,0.047207692
5/14/2015,32.23749924,432.2799988,538.4000244,48.72000122,48.81999969,5/14/2015,0.002962264,0.010160377,-0.009849057
5/15/2015,32.19250107,426,533.8499756,48.29999924,49.76800156,5/15/2015,0.084133333,0.0406,0.066853333
5/18/2015,32.54750061,425.2399902,532.2999878,48.00999832,49.75,5/18/2015,0.070153846,0.042961538,0.034334615
5/19/2015,32.51750183,421.7099915,537.3599854,47.58000183,49.4280014,5/19/2015,0.133666667,0.1105,0.029866667
5/20/2015,32.51499939,423.8599854,539.2700195,47.58000183,48.86999893,5/20/2015,0.1375,0.1364,0.06566
5/21/2015,32.84749985,431.6300049,542.5100098,47.41999817,49.12400055,5/21/2015,0.144705882,0.029235294,0.171517647
5/22/2015,33.13499832,427.6300049,540.1099854,46.90000153,49.54600143,5/22/2015,0.230909091,0.086818182,0.254572727
