date,score
2015-04-25,1.2366084604268786
2015-04-26,1.2024441679292523
2015-04-27,1.1898755202877895
2015-04-28,1.178653313038093
2015-04-29,1.1692445240359304
2015-04-30,1.154041523358178
2015-05-01,1.159658658565675
2015-05-02,1.1259804976461347
2015-05-03,1.0954308668011796
2015-05-04,1.0684662485516452
2015-05-05,1.052679014509092
2015-05-06,1.0497964683543746
2015-05-07,1.0355489922844319
2015-05-08,1.0162092677950765
2015-05-09,1.0060419922022692
2015-05-10,0.9606551852770007
2015-05-11,0.9292092169151445
2015-05-12,0.9171930061755295
2015-05-13,0.9127055637764366
2015-05-14,0.9061384972428709
2015-05-15,0.8823276121112311
2015-05-16,0.852077580219408
2015-05-17,0.8082774859242644
2015-05-18,0.7683294595160609
2015-05-19,0.7538083358708497
2015-05-20,0.7153701721377519
2015-05-21,0.6979182906858703
2015-05-22,0.6853258271871677
2015-05-23,0.6866086940234698
2015-05-24,0.6625753762989512
2015-05-25,0.6247439310107649
2015-05-26,0.6079740118918526
2015-05-27,0.5783633316295135
2015-05-28,0.5631409499939325
2015-05-29,0.5454102333127747
2015-05-30,0.544075864782754
2015-05-31,0.5314942461270614
2015-06-01,0.5258399958882839
2015-06-02,0.5165222290537794
2015-06-03,0.5184466866607437
2015-06-04,0.5112648684789254
2015-06-05,0.5107341974949355
2015-06-06,0.5065148678087127
2015-06-07,0.5018387864340337
2015-06-08,0.4984717830670303
2015-06-09,0.5129902634717983
2015-06-10,0.5107171454947093
2015-06-11,0.5104626298953661
2015-06-12,0.47942048928221476
2015-06-13,0.4860378673603448
2015-06-14,0.49101908678731904
2015-06-15,0.5015962548553348
2015-06-16,0.5070724453315252
2015-06-17,0.5101563455582825
2015-06-18,0.5097249482518852
2015-06-19,0.5005142561903128
2015-06-20,0.4991510803590517
2015-06-21,0.5091562934187316
2015-06-22,0.4925557643182025
2015-06-23,0.4908321208460998
2015-06-24,0.49789526607379
2015-06-25,0.48521543785974336
2015-06-26,0.4863968251927895
2015-06-27,0.48094732463785056
2015-06-28,0.47927838386566535
2015-06-29,0.4702868735886323
2015-06-30,0.4620907144665472
2015-07-01,0.45386025292587606
2015-07-02,0.4593121916681374
2015-07-03,0.4562042041625595
2015-07-04,0.45944349360874553
2015-07-05,0.44513805312269195
2015-07-06,0.443404870500891
2015-07-07,0.44860347206385
