date,scoreAAPL,closeAAPL,scoreAMZN,closeAMZN,scoreGOOGL,closeGOOGL,scoreMSFT,closeMSFT,scoreTSLA,closeTSLA,dateMarket
10/4/2018,1.340329812,72.1481781,1.081078784,1846.890015,0.992605843,1339.709961,1.193723725,155.5797272,0.270368831,82.94000244,12/30/2019
10/5/2018,1.355372131,72.1481781,1.091812911,1846.890015,0.998908732,1339.709961,1.20678002,155.5797272,0.265884951,82.94000244,12/30/2019
10/6/2018,1.391425807,72.1481781,1.087465681,1846.890015,0.999928768,1339.709961,1.191630832,155.5797272,0.268258392,82.94000244,12/30/2019
10/7/2018,1.383434887,72.1481781,1.071803756,1846.890015,0.994182995,1339.709961,1.185547461,155.5797272,0.278678657,82.94000244,12/30/2019
10/8/2018,1.371151493,72.1481781,1.045347048,1846.890015,0.974344778,1339.709961,1.168406882,155.5797272,0.284043558,82.94000244,12/30/2019
10/9/2018,1.372663861,72.1481781,1.019706611,1846.890015,0.966330348,1339.709961,1.144776346,155.5797272,0.270243172,82.94000244,12/30/2019
10/10/2018,1.356967638,72.1481781,1.011468885,1846.890015,0.957659334,1339.709961,1.1301625,155.5797272,0.267772988,82.94000244,12/30/2019
10/11/2018,1.369913433,72.1481781,1.011027524,1846.890015,0.970137911,1339.709961,1.146065138,155.5797272,0.267925071,82.94000244,12/30/2019
10/12/2018,1.37993315,72.1481781,1.019569611,1846.890015,1.009126417,1339.709961,1.146731337,155.5797272,0.274350398,82.94000244,12/30/2019
10/13/2018,1.397137451,72.1481781,1.014624578,1846.890015,1.034044482,1339.709961,1.145310479,155.5797272,0.266756919,82.94000244,12/30/2019
10/14/2018,1.375872805,72.1481781,1.000693441,1846.890015,0.994175986,1339.709961,1.084824993,155.5797272,0.260752502,82.94000244,12/30/2019
10/15/2018,1.361184105,72.1481781,0.979440694,1846.890015,0.959809238,1339.709961,1.044735161,155.5797272,0.261863286,82.94000244,12/30/2019
10/16/2018,1.375044298,72.1481781,0.97376674,1846.890015,0.950502605,1339.709961,1.041275565,155.5797272,0.250189024,82.94000244,12/30/2019
10/17/2018,1.371814067,72.1481781,0.967238626,1846.890015,0.944785436,1339.709961,1.028761134,155.5797272,0.256992716,82.94000244,12/30/2019
10/18/2018,1.360128286,72.1481781,0.964241035,1846.890015,0.950283075,1339.709961,1.019944768,155.5797272,0.255482394,82.94000244,12/30/2019
10/19/2018,1.361288894,72.1481781,0.953880797,1846.890015,0.970432307,1339.709961,1.025292332,155.5797272,0.235275345,82.94000244,12/30/2019
10/20/2018,1.365549687,72.1481781,0.967752245,1846.890015,0.984043592,1339.709961,1.036127348,155.5797272,0.24870983,82.94000244,12/30/2019
10/21/2018,1.346969136,72.1481781,0.944252179,1846.890015,0.972487227,1339.709961,1.020931561,155.5797272,0.247835444,82.94000244,12/30/2019
10/22/2018,1.315044,72.1481781,0.933075769,1846.890015,0.960521514,1339.709961,0.974332921,155.5797272,0.252303929,82.94000244,12/30/2019
10/23/2018,1.301226697,72.1481781,0.942518379,1846.890015,0.931646722,1339.709961,0.964719088,155.5797272,0.267388221,82.94000244,12/30/2019
10/24/2018,1.300215864,72.1481781,0.927060399,1846.890015,0.939820719,1339.709961,0.951626247,155.5797272,0.289247677,82.94000244,12/30/2019
10/25/2018,1.279458762,72.1481781,0.927376231,1846.890015,0.928415866,1339.709961,0.953402942,155.5797272,0.293001493,82.94000244,12/30/2019
10/26/2018,1.275535915,72.1481781,0.928928204,1846.890015,0.930912295,1339.709961,0.951893487,155.5797272,0.284740127,82.94000244,12/30/2019
10/27/2018,1.266003519,72.1481781,0.908042656,1846.890015,0.95769917,1339.709961,0.968144457,155.5797272,0.27930719,82.94000244,12/30/2019
10/28/2018,1.235889042,72.1481781,0.88881384,1846.890015,0.951530043,1339.709961,0.968685582,155.5797272,0.266151171,82.94000244,12/30/2019
10/29/2018,1.207576298,72.1481781,0.870088491,1846.890015,0.923738971,1339.709961,0.961281656,155.5797272,0.266317695,82.94000244,12/30/2019
10/30/2018,1.186943964,72.1481781,0.861502193,1846.890015,0.922915816,1339.709961,0.956734431,155.5797272,0.289492633,82.94000244,12/30/2019
10/31/2018,1.157332234,72.1481781,0.838487113,1846.890015,0.901128498,1339.709961,0.965421314,155.5797272,0.307610207,82.94000244,12/30/2019
11/1/2018,1.158245699,72.1481781,0.820083857,1846.890015,0.886751388,1339.709961,0.961083586,155.5797272,0.291090093,82.94000244,12/30/2019
11/2/2018,1.167638188,72.1481781,0.810386832,1846.890015,0.86174812,1339.709961,0.958726684,155.5797272,0.311162052,82.94000244,12/30/2019
11/3/2018,1.192269981,72.1481781,0.790557846,1846.890015,0.869869933,1339.709961,0.951647038,155.5797272,0.318874948,82.94000244,12/30/2019
11/4/2018,1.165792014,72.1481781,0.762206668,1846.890015,0.848649833,1339.709961,0.928019026,155.5797272,0.332813026,82.94000244,12/30/2019
11/5/2018,1.137139823,72.1481781,0.745350745,1846.890015,0.841341381,1339.709961,0.940700899,155.5797272,0.340393199,82.94000244,12/30/2019
11/6/2018,1.138518361,72.1481781,0.74702684,1846.890015,0.838839459,1339.709961,0.933008178,155.5797272,0.333392786,82.94000244,12/30/2019
11/7/2018,1.138590977,72.1481781,0.745225727,1846.890015,0.812701893,1339.709961,0.943574731,155.5797272,0.33366801,82.94000244,12/30/2019
11/8/2018,1.139057505,72.1481781,0.748617342,1846.890015,0.799201172,1339.709961,0.944866557,155.5797272,0.3407097,82.94000244,12/30/2019
11/9/2018,1.16180644,72.1481781,0.75072657,1846.890015,0.794609394,1339.709961,0.9335135,155.5797272,0.342634883,82.94000244,12/30/2019
11/10/2018,1.182563604,72.1481781,0.765865223,1846.890015,0.800776061,1339.709961,0.939257379,155.5797272,0.37121187,82.94000244,12/30/2019
11/11/2018,1.145536364,72.1481781,0.757874972,1846.890015,0.761831616,1339.709961,0.933497439,155.5797272,0.371215459,82.94000244,12/30/2019
11/12/2018,1.108213149,72.1481781,0.75750673,1846.890015,0.737918757,1339.709961,0.936172416,155.5797272,0.376130148,82.94000244,12/30/2019
11/13/2018,1.097004965,72.1481781,0.768069689,1846.890015,0.767056527,1339.709961,0.95763455,155.5797272,0.382550652,82.94000244,12/30/2019
11/14/2018,1.083544653,72.1481781,0.77375134,1846.890015,0.778338054,1339.709961,0.966044336,155.5797272,0.388908542,82.94000244,12/30/2019
11/15/2018,1.073595595,72.1481781,0.783965086,1846.890015,0.785103027,1339.709961,0.968645595,155.5797272,0.395130628,82.94000244,12/30/2019
11/16/2018,1.086032464,72.1481781,0.778120133,1846.890015,0.798382481,1339.709961,0.986078058,155.5797272,0.392481496,82.94000244,12/30/2019
11/17/2018,1.108345719,72.1481781,0.770275783,1846.890015,0.815383901,1339.709961,1.010538818,155.5797272,0.391519886,82.94000244,12/30/2019
11/18/2018,1.065594786,72.1481781,0.759249049,1846.890015,0.79677279,1339.709961,1.01244358,155.5797272,0.407739189,82.94000244,12/30/2019
11/19/2018,1.034491227,72.1481781,0.74006268,1846.890015,0.780321685,1339.709961,0.99334371,155.5797272,0.40461638,82.94000244,12/30/2019
11/20/2018,1.017500747,72.1481781,0.745009701,1846.890015,0.76788954,1339.709961,1.011420228,155.5797272,0.408469088,82.94000244,12/30/2019
11/21/2018,1.0221908,72.1481781,0.731712307,1846.890015,0.769618766,1339.709961,1.008236733,155.5797272,0.407829905,82.94000244,12/30/2019
11/22/2018,1.014137783,72.1481781,0.712930244,1846.890015,0.78221411,1339.709961,1.016158392,155.5797272,0.413585895,82.94000244,12/30/2019
11/23/2018,1.022713358,72.1481781,0.724571848,1846.890015,0.796106244,1339.709961,1.053166589,155.5797272,0.409479948,82.94000244,12/30/2019
11/24/2018,1.030874877,72.1481781,0.728704196,1846.890015,0.803403353,1339.709961,1.069123147,155.5797272,0.420129306,82.94000244,12/30/2019
11/25/2018,1.01107339,72.1481781,0.727926158,1846.890015,0.790301507,1339.709961,1.061901605,155.5797272,0.433545009,82.94000244,12/30/2019
11/26/2018,0.995770706,72.1481781,0.733457807,1846.890015,0.763117807,1339.709961,1.055889658,155.5797272,0.442803485,82.94000244,12/30/2019
11/27/2018,1.005996872,72.1481781,0.73727518,1846.890015,0.764514127,1339.709961,1.060285309,155.5797272,0.451910867,82.94000244,12/30/2019
11/28/2018,1.007249639,72.1481781,0.731411501,1846.890015,0.771405728,1339.709961,1.086300347,155.5797272,0.450795864,82.94000244,12/30/2019
